id,create_date,rent_price,deposit,floor,area_total,rooms,region,agent_fee,date_only,repair_type_original,renovation_cosmetic,renovation_design,renovation_euro,renovation_no,renovation_unknown,price_for_m2,is_luxury_by_region,month_deposit,deposit_group,is_high_floor,renovation_score,is_small,is_large,is_studio,is_family,is_expensive_region,area_expensive,rooms_scaled,floor_scaled,rooms_x_floor
128,2021-12-06 01:06:11.014000+03:00,40000,40000.0,7,50.0,1,1,100.0,2021-12-06,euro,0,0,1,0,0,800.0,0,1.0,1,0,0.4,1,0,1,0,1,50.0,0.16666666666666666,0.1111111111111111,0.018518518518518517
129,2021-12-06 01:06:04.637000+03:00,40000,40000.0,11,39.0,1,1,30.0,2021-12-06,euro,0,0,1,0,0,1025.64,0,1.0,1,0,0.4,1,0,1,0,1,39.0,0.16666666666666666,0.18518518518518517,0.030864197530864196
130,2021-12-06 01:02:42.898000+03:00,43700,0.0,5,50.9,2,1,0.0,2021-12-06,cosmetic,1,0,0,0,0,858.55,0,0.0,0,0,0.0,0,0,0,0,1,50.9,0.3333333333333333,0.07407407407407407,0.024691358024691357
131,2021-12-06 01:01:24.326000+03:00,57000,57000.0,7,38.0,1,1,50.0,2021-12-06,cosmetic,1,0,0,0,0,1500.0,1,1.0,2,0,0.0,1,0,1,0,1,38.0,0.16666666666666666,0.1111111111111111,0.018518518518518517
132,2021-12-06 01:00:38.148000+03:00,78000,78000.0,7,60.0,2,1,0.0,2021-12-06,euro,0,0,1,0,0,1300.0,1,1.0,2,0,0.4,0,0,0,0,1,60.0,0.3333333333333333,0.1111111111111111,0.037037037037037035
133,2021-12-06 00:59:41.632000+03:00,40000,20000.0,3,44.0,2,1,50.0,2021-12-06,cosmetic,1,0,0,0,0,909.09,0,0.5,0,0,0.0,1,0,0,0,1,44.0,0.3333333333333333,0.037037037037037035,0.012345679012345678
135,2021-12-06 00:59:00.710000+03:00,75000,75000.0,9,55.0,2,1,0.0,2021-12-06,design,0,1,0,0,0,1363.64,1,1.0,2,0,0.6,0,0,0,0,1,55.0,0.3333333333333333,0.14814814814814814,0.04938271604938271
136,2021-12-06 00:58:42.964000+03:00,55000,55000.0,6,60.0,2,1,0.0,2021-12-06,design,0,1,0,0,0,916.67,0,1.0,2,0,0.6,0,0,0,0,1,60.0,0.3333333333333333,0.09259259259259259,0.030864197530864196
138,2021-12-06 00:57:11.923000+03:00,39500,39500.0,5,32.0,1,1,40.0,2021-12-06,cosmetic,1,0,0,0,0,1234.38,1,1.0,1,0,0.0,1,0,1,0,1,32.0,0.16666666666666666,0.07407407407407407,0.012345679012345678
139,2021-12-06 00:56:23.193000+03:00,55000,55000.0,6,63.5,3,1,50.0,2021-12-06,cosmetic,1,0,0,0,0,866.14,0,1.0,2,0,0.0,0,0,0,1,1,63.5,0.5,0.09259259259259259,0.046296296296296294
143,2021-12-06 00:50:06.480000+03:00,75000,75000.0,22,60.0,2,1,50.0,2021-12-06,euro,0,0,1,0,0,1250.0,1,1.0,2,0,0.4,0,0,0,0,1,60.0,0.3333333333333333,0.38888888888888884,0.1296296296296296
144,2021-12-06 00:50:05.212000+03:00,75000,75000.0,14,88.0,2,1,50.0,2021-12-06,euro,0,0,1,0,0,852.27,0,1.0,2,0,0.4,0,0,0,0,1,88.0,0.3333333333333333,0.24074074074074073,0.08024691358024691
